"DATE ADDED TO CATALOG","PUBMEDID","FIRST AUTHOR","DATE","JOURNAL","LINK","STUDY","DISEASE/TRAIT","INITIAL SAMPLE SIZE","REPLICATION SAMPLE SIZE","REGION","CHR_ID","CHR_POS","REPORTED GENE(S)","MAPPED_GENE","UPSTREAM_GENE_ID","DOWNSTREAM_GENE_ID","SNP_GENE_IDS","UPSTREAM_GENE_DISTANCE","DOWNSTREAM_GENE_DISTANCE","STRONGEST SNP-RISK ALLELE","SNPS","MERGED","SNP_ID_CURRENT","CONTEXT","INTERGENIC","RISK ALLELE FREQUENCY","P-VALUE","PVALUE_MLOG","P-VALUE (TEXT)","OR or BETA","95% CI (TEXT)","PLATFORM [SNPS PASSING QC]","CNV","MAPPED_TRAIT","MAPPED_TRAIT_URI","STUDY ACCESSION","GENOTYPING TECHNOLOGY"
2017-11-30,29059683,"Michailidou K",2017-10-23,"Nature","www.ncbi.nlm.nih.gov/pubmed/29059683","Association analysis identifies 65 new breast cancer risk loci.","Breast cancer","76,192 European ancestry cases, 63,082 European ancestry controls","46,785 European ancestry cases, 42,892 European ancestry controls, 14,068 East Asian ancestry cases, 13,104 East Asian ancestry controls","8q22.3","8","101466731","intergenic","RN7SL563P - GRHL2","ENSG00000239211","ENSG00000083307","",68798,25708,"rs514192-A","rs514192",0,"514192","intron_variant",1,"0.32","6E-9",8.22184874961636,"(EA)",1.05,"[1.03-1.07] (Oncoarray)","Illumina [~ 11800000] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST004988","Genome-wide genotyping array"
2017-11-30,29059683,"Michailidou K",2017-10-23,"Nature","www.ncbi.nlm.nih.gov/pubmed/29059683","Association analysis identifies 65 new breast cancer risk loci.","Breast cancer","76,192 European ancestry cases, 63,082 European ancestry controls","46,785 European ancestry cases, 42,892 European ancestry controls, 14,068 East Asian ancestry cases, 13,104 East Asian ancestry controls","6q23.1","6","130027974","L3MBTL3","L3MBTL3","","","ENSG00000198945",NA,NA,"rs6569648-T","rs6569648",0,"6569648","intron_variant",0,"0.76","3E-12",11.5228787452803,"(EA)",1.0638298,"[1.04-1.09] (Oncoarray)","Illumina [~ 11800000] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST004988","Genome-wide genotyping array"
2020-02-19,31757997,"Low SK",2019-11-22,"Sci Rep","www.ncbi.nlm.nih.gov/pubmed/31757997","Identification of two novel breast cancer loci through large-scale genome-wide association study in the Japanese population.","Breast cancer","6,669 Japanese ancestry cases, 21,930 Japanese ancestry controls","981 Japanese ancestry cases, 1,394 Japanese ancestry controls","16q12.1","16","52565276","TOX3, CASC16","CASC16","","","ENSG00000249231",NA,NA,"rs4784227-T","rs4784227",0,"4784227","intron_variant",0,"0.235","2E-24",23.698970004336,"",1.271,"[1.214-1.331]","Illumina [4946503] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST009665","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","14q32.12","14","92637727","","RIN3","","","ENSG00000100599",NA,NA,"rs11627032-T","rs11627032",0,"11627032","intron_variant",0,"NR","2E-10",9.69897000433602,"",1.04,"[1.03-1.06]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","16q12.2","16","53779455","","FTO","","","ENSG00000140718",NA,NA,"rs17817449-T","rs17817449",0,"17817449","intron_variant",0,"NR","5E-24",23.301029995664,"",1.06,"[1.05-1.07]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","5q14.3","5","91436408","","ARRDC3-AS1","","","ENSG00000281357",NA,NA,"rs10474352-C","rs10474352",0,"10474352","intron_variant",0,"NR","1E-16",16,"",1.06,"[1.05-1.08]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","6q25.1","6","149287738","","TAB2","","","ENSG00000055208",NA,NA,"rs9485372-G","rs9485372",0,"9485372","intron_variant",0,"NR","8E-12",11.0969100130081,"",1.05,"[1.03-1.06]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","6q25.1","6","151627231","","CCDC170 - ESR1","ENSG00000120262","ENSG00000091831","",6038,29460,"rs2046210-A","rs2046210",0,"2046210","regulatory_region_variant",1,"NR","3E-74",73.5228787452803,"",1.11,"[1.1-1.13]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","15q26.1","15","90968837","","PRC1-AS1, PRC1","","","ENSG00000258725, ENSG00000198901",NA,NA,"rs2290203-G","rs2290203",0,"2290203","3_prime_UTR_variant",0,"NR","2E-19",18.698970004336,"",1.06,"[1.05-1.08]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","16q12.1","16","52565276","","CASC16","","","ENSG00000249231",NA,NA,"rs4784227-T","rs4784227",0,"4784227","intron_variant",0,"NR","2E-240",239.698970004336,"",1.24,"[1.22-1.25]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
